,planet fitness,boutique fitness,peloton
2020-01-31,56.5,27.0,41.6
2020-02-29,55.0,27.9,41.1
2020-03-31,57.9,26.4,48.6
2020-04-30,60.9,26.5,45.9
2020-05-31,56.1,30.8,52.8
2020-06-30,56.6,32.2,58.9
2020-07-31,62.5,29.6,55.4
2020-08-31,60.5,32.0,59.1
2020-09-30,57.3,31.0,63.4
2020-10-31,60.7,29.3,65.0
2020-11-30,58.2,31.6,65.8
2020-12-31,58.6,34.2,72.0
2021-01-31,61.2,31.4,72.6
2021-02-28,55.2,34.9,78.6
2021-03-31,56.2,26.8,78.7
2021-04-30,60.2,34.0,86.5
2021-05-31,59.3,32.8,84.7
2021-06-30,63.7,32.3,88.6
2021-07-31,60.5,33.4,93.7
2021-08-31,59.5,29.5,92.5
2021-09-30,68.5,33.3,95.5
2021-10-31,63.9,34.8,95.5
2021-11-30,65.3,37.3,87.6
2021-12-31,61.3,33.6,89.1
2022-01-31,64.3,33.3,87.1
2022-02-28,66.8,34.2,86.0
2022-03-31,63.4,37.3,79.9
2022-04-30,68.5,36.4,77.6
2022-05-31,66.0,35.0,79.2
2022-06-30,67.4,37.4,76.6
2022-07-31,66.9,36.8,74.4
2022-08-31,74.7,38.9,72.5
2022-09-30,69.6,35.8,68.4
2022-10-31,66.9,36.9,68.1
2022-11-30,73.0,37.0,66.1
2022-12-31,67.4,35.2,62.0
2023-01-31,72.1,39.0,65.0
2023-02-28,66.1,39.2,60.2
2023-03-31,68.4,39.0,54.7
2023-04-30,73.4,38.8,56.3
2023-05-31,75.5,36.7,53.1
2023-06-30,74.3,39.0,55.7
2023-07-31,73.9,39.4,55.5
2023-08-31,73.8,38.8,50.7
2023-09-30,70.7,40.4,53.3
2023-10-31,73.4,41.8,51.4
2023-11-30,74.7,45.0,51.3
2023-12-31,79.7,41.9,52.5
2024-01-31,78.0,42.3,47.4
2024-02-29,72.1,42.0,45.4
2024-03-31,78.9,38.6,44.3
2024-04-30,77.2,42.6,43.5
2024-05-31,76.8,43.1,44.1
2024-06-30,81.1,48.2,44.1
2024-07-31,82.8,43.2,43.0
2024-08-31,83.0,44.5,43.2
2024-09-30,78.1,44.1,40.7
2024-10-31,80.2,42.1,42.7
2024-11-30,82.5,47.0,38.4
2024-12-31,84.9,46.5,43.4
